,cps_name,obs,Teff,u_Teff,radius,u_radius,FeH,u_FeH,mass,u_mass,Source
138,164259,rj187.472,6454,113,1.9614,0.0713,-0.03,,,,VonBraun
139,173667,rj187.479,6296,19,2.0644,0.0166,-0.03,,,,VonBraun
140,182572,rj08.774,5643,84,1.3785,0.0418,0.34,,,,VonBraun
141,222368,rj26.532,6192,26,1.5949,0.0137,-0.14,,,,VonBraun
142,16623,rj187.81,5327,39,0.9172,0.009,0.08,,,,VonBraun
143,6210,rj185.1083,6089,35,4.517,0.1522,-0.01,,,,VonBraun
144,16765,rj185.1123,6356,46,1.208,0.0288,-0.15,,,,VonBraun
145,38858,rj06.1054,5646,45,0.9331,0.0162,-0.22,,,,VonBraun
146,69897,rj185.1107,6130,58,1.387,0.0276,-0.26,,,,VonBraun
147,130948,rj187.197,5787,57,1.1119,0.0229,-0.05,,,,VonBraun
148,140538A,rj130.1672,5692,74,0.941,0.0254,0.05,,,,VonBraun
149,158633,rj61.668,5203,46,0.7891,0.0144,-0.41,,,,VonBraun
150,168151,rj187.489,6221,39,1.7577,0.0225,-0.28,,,,VonBraun
151,186408,rj55.1848,5760,57,1.2551,0.0261,0.05,,,,VonBraun
152,186427,rj76.877,5678,66,1.1689,0.0274,0.04,,,,VonBraun
153,206860,rj173.1211,5860,83,1.0189,0.0291,-0.16,,,,VonBraun
154,219623,rj130.1517,6285,94,1.195,0.0359,0.04,,,,VonBraun
155,75732f,rj162.276,5172,18,0.9434,0.0101,0.35,,,,VonBraun
156,190406,rj59.1923,5763,49,1.1153,0.0211,0.03,,,,VonBraun
157,49933,rj185.1115,6635,90,1.42,0.04,-0.39,,,,VonBraun
158,210027,rj185.766,6324,139,1.526,0.068,-0.13,,,,VonBraun
159,3651,rj13.2073,5046,86,0.947,0.032,0.15,,,,VonBraun
160,19994,rj185.1131,5916,98,1.93,0.067,0.17,,,,VonBraun
161,117176,rj72.746,5406,64,1.968,0.047,-0.06,,,,VonBraun
162,120136,rj222.343,6620,67,1.331,0.027,0.24,,,,VonBraun
163,190360,rj02.953,5461,75,1.2,0.033,0.21,,,,VonBraun
164,216956,rj182.386,8459,44,1.8451,0.0202,0.2,,,,VonBraun
165,161797,rj59.1280,5502,55,1.7448,0.0349,0.23,,,,VonBraun
166,188512,rj23.524,4920,102,3.2103,0.1328,-0.14,,,,VonBraun
167,10700f,rj162.91,5290,39,0.8154,0.0122,-0.48,,,,VonBraun
168,23249,rj63.431,4955,30,2.3267,0.0286,0.12,,,,VonBraun
169,21019A,rj222.92,5261,65,2.4214,0.0764,-0.41,,,,VonBraun
170,136202,rj179.71,5661,87,2.1427,0.067,-0.04,,,,VonBraun
171,157214,rj213.88,5738,48,1.1159,0.0191,-0.37,,,,VonBraun
