SPOCSNUM,NAME,SNR,LRMS,CRMS,VSINI,TEFF,LOGG,MONH,FEH
2350,KIC-8957218,29,0.0643,0.0525,12.69,6122.2,4.2003,-0.2566,-0.2292
2351,KIC-9016693,33,0.0477,0.0404,6.45,6680.5,3.0047,-0.1752,-0.0618
2352,KIC-9025370,53,0.0484,0.0359,3.29,5968.5,4.9867,-0.2979,-0.3806
2353,KIC-9098294,51,0.0232,0.0219,0.38,5929.2,4.4345,-0.0786,-0.1121
2354,KIC-9206432,216,0.0145,0.0086,0.10,6488.9,4.2359,0.2491,0.2797
2355,KIC-9226339,49,0.0326,0.0890,2.99,5765.4,4.1181,0.1589,0.1682
2356,KIC-9346370,38,0.0403,0.0290,0.10,4991.0,3.5043,0.0440,0.0725
2357,KIC-9353712,49,0.0269,0.0226,1.66,6173.8,3.8672,-0.0229,0.0266
2358,KIC-9410862,109,0.0181,0.0128,0.10,6045.2,4.2957,-0.3255,-0.3468
2359,KIC-9413313,51,0.0260,0.0244,3.34,5196.7,4.4945,0.1047,0.1655
2360,KOI-5626,17,0.0880,0.0850,0.86,5916.1,4.2833,-0.0831,-0.0577
2361,KOI-3283,27,0.0505,0.0460,2.85,4744.1,4.4796,-0.1041,-0.0972
2362,KOI-5622,24,0.0559,0.0519,0.10,5202.4,4.4695,0.0222,-0.0296
2363,KOI-5612,21,0.0621,0.0576,0.10,5168.6,4.4308,0.0000,0.0019
2364,KOI-5592,29,0.0592,0.0401,5.18,6048.6,4.2196,0.0028,0.0298
2365,KIC-9767437,29,0.0459,0.0400,3.05,5239.3,4.7902,-0.3036,-0.2825
2366,KIC-9583493,32,0.0389,0.0394,8.32,5630.7,4.4770,-0.0644,-0.0132
2367,KIC-9661979,44,0.0315,0.0351,3.21,5729.7,4.3974,0.0643,0.0924
2368,KIC-9665394,34,0.0382,0.0343,3.88,5821.2,4.1118,0.2995,0.3066
2369,KIC-9909735,91,0.0174,0.0136,6.87,5743.4,4.4811,0.2224,0.2709
