,name,teff,fe,obs,bc,ha,jd,obs.1,type,run,number,obstime,gaidos_name,tycho_name,VTmag,e_VTmag,BTmag,e_BTmag,Vmag,e_Vmag,2mass_name,K_2mass_mag,e_K_2mass_mag,J_2mass_mag,e_J_2mass_mag,Kmag,e_Kmag,V-K,e_V-K,teff_derived,e_teff_derived,Plx,e_Plx,abs_Vmag,e_abs_Vmag,abs_Kmag,e_abs_Kmag,radius,u_radius,logg,u_logg,age,u_age,mass,u_mass
53,   HIP 51443 ,4505,-0.05,rj63.1700,26641.7617188,-0.09000000357629999,14811.144531200001,rj63.1700,t,j63,1700,2008-12-10 15:28,   HIP 51443 ,TYC 6073-993-1,9.720999717712402,0.032000001519918435,11.255999565124512,0.07500000298023224,9.574199466026556,0.06442742288373411,2MASS J10302201-2114125,6.816999912261963,0.020999999716877937,7.502999782562256,0.023000000044703484,6.847630101553272,0.03230979838290258,2.7265693644732822,0.0967372212666367,4467.7517224687845,77.22753597380341,33.34999847412109,1.5099999904632568,7.189678557936951,0.3987790573956121,4.463109193463668,0.3666614328947806,0.69,0.03,4.63,0.03,9.71,0.49,0.72,0.05
57,   HIP 54810 ,4256,0.03,rj63.1701,30312.824218799997,-0.716000020504,14811.1484375,rj63.1701,t,j63,1701,2008-12-10 15:33,   HIP 54810 ,TYC  266-586-1,8.848999977111816,0.014999999664723871,10.314000129699707,0.02800000086426735,8.709459357046411,0.02803157982503996,2MASS J11131322+0428562,5.853000164031982,0.017999999225139618,6.552999973297119,0.023000000044703484,5.882944980291201,0.029100735879374024,2.8265143767552097,0.057132315704413975,4389.61874766112,158.74001622676275,55.72000122070313,1.2899999618530271,7.439514943378242,0.17319001265449413,4.613000566623033,0.1742591687088282,0.67,0.04,4.64,0.03,9.63,0.49,0.7,0.05
41,   HIP 43534 ,4100,-0.13,rj67.494,-20535.4257812,2.02399992943,14928.8427734,rj67.494,t,j67,494,2009-04-07 08:13,   HIP 43534 ,TYC 4134-609-1,9.404999732971193,0.014000000432133676,11.015000343322754,0.032999999821186066,9.250016116157783,0.02824382050890476,2MASS J08520035+6607536,5.994999885559082,0.028999999165534977,6.723999977111816,0.026000000536441803,6.022164845373205,0.04034321915698668,3.2278512707845763,0.06858703966589144,4108.792220704294,198.884624648936,60.63000106811523,1.4099999666213991,8.163453995587318,0.16979177095676726,4.935602724802742,0.1818911696048492,0.61,0.04,4.67,0.03,9.63,0.5,0.64,0.04
44,   HIP 45042 ,4476,0.17,rj67.495,-17745.4179688,1.81500005722,14928.846679700002,rj67.495,t,j67,495,2009-04-07 08:19,   HIP 45042 ,TYC 4382-1536-1,10.23799991607666,0.029999999329447743,11.751999855041506,0.06499999761581421,10.093413907840588,0.05879069840367882,2MASS J09102726+7324240,7.080999851226808,0.017000000923871994,7.820000171661378,0.024000000208616257,7.109885242451519,0.028510561405588164,2.98352866538907,0.08730125980926698,4273.786241568111,129.43430027672207,28.96999931335449,1.4800000190734863,7.403156332391268,0.4516654525669755,4.419627667002196,0.4213853155688849,0.67,0.04,4.64,0.03,9.67,0.5,0.7,0.05
46,   HIP 46343 ,4529,0.03,rj67.496,-16596.052734399997,1.6360000371899999,14928.8505859,rj67.496,t,j67,496,2009-04-07 08:24,   HIP 46343 ,TYC 4541-1894-1,9.145999908447266,0.014999999664723871,10.531999588012695,0.029999999329447743,9.014266620809533,0.028637699359897517,2MASS J09265320+7556034,6.136000156402588,0.016000000759959214,6.827000141143799,0.01899999938905239,6.165782025665616,0.02703844356455366,2.8484845951439177,0.05567614292445118,4372.913851685803,164.2971851135313,49.84000015258789,1.0399999618530271,7.502156795713179,0.16452441583157215,4.653672200569262,0.16292516003622828,0.66,0.04,4.64,0.03,9.62,0.49,0.69,0.05
52,   HIP 50960 ,4187,-0.06,rj67.498,-15067.9775391,0.8970000147820001,14928.859375,rj67.498,t,j67,498,2009-04-07 08:37,   HIP 50960 ,TYC 4542-1115-1,10.604999542236328,0.04199999943375588,12.371999740600586,0.1589999943971634,10.43130914008184,0.10291505756415427,2MASS J10242576+7728155,7.261000156402588,0.020999999716877937,8.032999992370605,0.026000000536441803,7.288806298603765,0.03302536121597529,3.142502841478076,0.13594041878012955,4164.455123739234,70.02586803323547,33.720001220703125,1.5399999618530271,8.070747048455184,0.43907356675668535,4.928244206977108,0.3691838704085064,0.62,0.04,4.67,0.03,9.64,0.51,0.65,0.05
54,   HIP 53327 ,4390,-0.79,rj67.499,-14753.745117200002,0.51599997282,14928.864257799998,rj67.499,t,j67,499,2009-04-07 08:44,   HIP 53327 ,TYC 4549-1314-1,9.58899974822998,0.01899999938905239,10.826000213623047,0.035999998450279236,9.47108045328737,0.03566829873424024,2MASS J10542660+7603565,6.5939998626708975,0.020999999716877937,7.315000057220459,0.020999999716877937,6.623820825740482,0.03228448277777035,2.8472596275468893,0.06795278151201059,4373.840879946249,143.08249255595774,44.91999816894531,1.0399999618530271,7.73327910271967,0.1916637001857049,4.886019475172781,0.18827988422923506,0.64,0.04,4.65,0.03,9.6,0.51,0.67,0.05
58,   HIP 55507 ,4104,-0.05,rj67.500,-16950.173828100003,0.157000005245,14928.871093799999,rj67.500,t,j67,500,2009-04-07 08:54,   HIP 55507 ,TYC 3451-1075-1,9.951000213623047,0.029999999329447743,11.602999687194824,0.07199999690055847,9.791232693420133,0.06091211818691342,2MASS J11220574+4654300,6.61299991607666,0.020999999716877937,7.367000102996826,0.020999999716877937,6.64073176070423,0.03263170003091859,3.1505009327159,0.09354381821783203,4159.152165877068,143.93813069149851,40.36000061035156,1.4800000190734863,7.820988514082988,0.3165107644297478,4.670487581367088,0.2882303462737529,0.64,0.04,4.65,0.03,9.66,0.51,0.67,0.05
59,   HIP 56630 ,3960,-0.01,rj67.502,-15776.728515600002,0.097000002861,14928.879882799998,rj67.502,t,j67,502,2009-04-07 09:07,   HIP 56630 ,TYC 3013-1623-1,10.13700008392334,0.032000001519918435,11.770000457763672,0.07199999690055847,9.97941543114264,0.06351824104122818,2MASS J11364081+3911270,6.611000061035156,0.020999999716877937,7.425000190734862,0.026000000536441803,6.637452710730523,0.032963070905117985,3.3419627204121185,0.09648131194634617,4037.4231773441993,169.60279917089773,40.9900016784668,1.5499999523162842,8.042805111643037,0.3258199054519721,4.700842391230919,0.29526473531586195,0.63,0.04,4.66,0.03,9.65,0.51,0.65,0.05
61,   HIP 57493 ,4168,0.06,rj67.503,-15074.1103516,0.0179999992251,14928.8828125,rj67.503,t,j67,503,2009-04-07 09:11,   HIP 57493 ,TYC 3454-1692-1,9.63599967956543,0.017999999225139618,11.270999908447266,0.04399999976158142,9.478186733875258,0.0367897189180553,2MASS J11470350+5058184,6.414000034332275,0.026000000536441803,7.171999931335449,0.024000000208616257,6.44253992671983,0.03752580655076982,3.0356468071554286,0.07431552546882511,4237.098954016445,159.40613251257415,40.61000061035156,1.5199999809265137,7.521351713961779,0.2971785132703991,4.48570490680635,0.2979146009031137,0.66,0.04,4.64,0.03,9.65,0.5,0.69,0.05
62,   HIP 59496 ,4122,-0.01,rj67.505,-13358.9892578,-0.250999987125,14928.888671899998,rj67.505,t,j67,505,2009-04-07 09:19,   HIP 59496 ,TYC 3840-178-1,10.140000343322754,0.02800000086426735,11.78499984741211,0.06400000303983687,9.981040737629387,0.055881522047445176,2MASS J12120522+5855351,6.831999778747559,0.016000000759959214,7.568999767303468,0.019999999552965164,6.859919990474294,0.027467496421214568,3.1211207471550937,0.08334901846865975,4178.722242946971,156.87351395553475,35.2400016784668,1.2400000095367432,7.716220339755777,0.3115108334430379,4.595099592600686,0.2830968078168073,0.65,0.04,4.65,0.03,9.66,0.51,0.68,0.05
69,   HIP 66074 ,4460,0.23,rj67.532,-10359.1591797,1.47099995613,14929.013671899998,rj67.532,t,j67,532,2009-04-07 12:19,   HIP 66074 ,TYC 4558-1471-1,10.446000099182127,0.04100000113248825,11.67300033569336,0.0729999989271164,10.32897286309075,0.07554884115055202,2MASS J13324101+7500248,7.182000160217285,0.016000000759959214,7.9099998474121085,0.024000000208616257,7.209925731299009,0.02756417094576749,3.1190471317917394,0.10311301209631953,4180.112886307485,122.67736024760978,27.8799991607666,1.1599999666213991,7.5554366448557495,0.3989814819367181,4.436389513064012,0.35099681173193353,0.66,0.03,4.64,0.03,9.7,0.5,0.69,0.04
79,   HIP 79698 ,4256,0.26,rj68.544,2189.51806641,0.0630000010133,14955.997070299998,rj68.544,t,j68,544,2009-05-04 11:55,   HIP 79698 ,TYC 2586-1666-1,9.847999572753906,0.027000000700354576,11.342000007629395,0.059999998658895486,9.705492880361486,0.05336622050616889,2MASS J16155493+3549159,6.724999904632568,0.019999999552965164,7.395999908447266,0.01899999938905239,6.754040654620862,0.031142582068475918,2.951452225740624,0.08450880257464483,4296.7913728849135,129.54259377399222,32.389999389648445,1.1100000143051147,7.257547579493519,0.3086060953531344,4.306095353752896,0.2863824569154414,0.68,0.03,4.63,0.03,9.73,0.49,0.72,0.04
5,    HIP 4454 ,4671,-0.55,rj76.1319,15651.606445299998,0.6930000185969999,15080.043945299998,rj76.1319,t,j76,1319,2009-09-05 13:03,    HIP 4454 ,TYC 4296-563-1,9.25,0.016000000759959214,10.545000076293944,0.032000001519918435,9.126827071941163,0.030546881450898945,2MASS J00570437+6902363,6.459000110626223,0.017000000923871994,7.113999843597412,0.019999999552965164,6.49022855962902,0.02787640294656208,2.636598512312143,0.05842328439746103,4541.203729892853,131.0504885820788,41.45000076293945,1.0099999904632568,7.214449786341309,0.1989787478931419,4.577851274029166,0.19630826938880505,0.68,0.04,4.63,0.03,9.6,0.49,0.72,0.05
93,  HIP 112496 ,4778,0.04,rj76.2110,1112.65002441,3.52699995041,15084.064453100002,rj76.2110,t,j76,2110,2009-09-09 13:32,  HIP 112496 ,TYC 1701-867-1,9.159000396728516,0.017000000923871994,10.407999992370604,0.032000001519918435,9.040005631771592,0.031849941664487125,2MASS J22471356+1823042,6.429999828338622,0.016000000759959214,7.0250000953674325,0.020999999716877937,6.461574411287635,0.026570807115153482,2.578431220483957,0.05842074877964061,4590.330736502383,123.59908359830736,37.58000183105469,1.2799999713897705,6.914789616397336,0.27453955985094325,4.336358395913379,0.2692604253016096,0.71,0.04,4.62,0.04,9.67,0.5,0.75,0.05
27,   HIP 29548 ,4528,-0.1,rj81.607,-253.66700744599999,-1.13300001621,15189.8896484,rj81.607,t,j81,607,2009-12-24 09:21,   HIP 29548 ,TYC 4099-1786-1,9.819000244140623,0.027000000700354576,11.270000457763672,0.06199999898672104,9.680871483271169,0.05397234060551971,2MASS J06133528+6323388,6.629000186920166,0.016000000759959214,7.427999973297119,0.07699999958276749,6.657668897800892,0.02783177820150274,3.023202585470273,0.08180411880702246,4245.782057363173,144.71568822606199,40.38000106811523,1.4099999666213991,7.711703113748168,0.29732367563471906,4.688500528277894,0.2711831132307021,0.65,0.04,4.65,0.03,9.64,0.5,0.68,0.05
23,   HIP 19981 ,4605,0.27,rj81.637,-13699.364257799998,2.25500011444,15189.951171899998,rj81.637,t,j81,637,2009-12-24 10:49,   HIP 19981 ,TYC 1815-1907-1,9.901000022888184,0.029999999329447743,11.279000282287598,0.06400000303983687,9.770036664422408,0.058487640047483136,2MASS J04170685+2240241,6.840000152587892,0.027000000700354576,7.519999980926514,0.023000000044703484,6.869405807626268,0.03828575960523938,2.900630856796141,0.09677339965272252,4333.92244247435,101.21408802137769,30.559999465942386,1.5199999809265137,7.195803375992654,0.4352165227418915,4.295172519196512,0.4150146422996478,0.69,0.03,4.62,0.03,9.74,0.5,0.72,0.04
51,   HIP 48740 ,4577,0.02,rj81.662,21327.3144531,-1.875,15190.012695299998,rj81.662,t,j81,662,2009-12-24 12:18,   HIP 48740 ,TYC 2502-1137-1,10.194000244140623,0.032999999821186066,11.810999870300293,0.07800000160932541,10.038229841597383,0.06663966025471688,2MASS J09563007+3144182,7.117000102996826,0.024000000208616257,7.822999954223633,0.023000000044703484,7.146494476141817,0.03545227316529803,2.891735365455567,0.10209193342001492,4340.509214206922,90.83217123012,29.920000076293945,1.5399999618530271,7.418037793096608,0.4588554167413562,4.526302427641042,0.4276680296519374,0.67,0.04,4.64,0.03,9.69,0.5,0.7,0.04
34,   HIP 38969 ,4761,0.26,rj82.220,10599.1826172,1.44000005722,15197.049804700002,rj82.220,t,j82,220,2009-12-31 13:11,   HIP 38969 ,TYC 5982-1843-1,9.480999946594238,0.01899999938905239,10.798999786376953,0.03700000047683717,9.355702586069027,0.03597135934840888,2MASS J07582559-1501132,6.533999919891357,0.020999999716877937,7.230000019073486,0.023000000044703484,6.564185649349768,0.032160492579316004,2.791516936719261,0.06813185192772489,4416.574929990295,135.05871042927942,30.20000076293945,1.2300000190734863,6.75573735571246,0.34550636405502955,3.9642204189932,0.3416954972859367,0.73,0.03,4.6,0.03,9.81,0.48,0.76,0.05
55,   HIP 54459 ,4469,-0.52,rj82.240,26502.9472656,-1.02300000191,15197.078125,rj82.240,t,j82,240,2009-12-31 13:52,   HIP 54459 ,TYC 1430-351-1,9.829999923706056,0.027000000700354576,11.17300033569336,0.05299999937415123,9.7023643029268,0.0512448007229343,2MASS J11083174+1546041,6.823999881744385,0.020999999716877937,7.540999889373777,0.01899999938905239,6.853807696596338,0.032371668931304325,2.8485566063304617,0.08361646965423862,4372.8593712042975,116.41474383290456,38.61000061035156,1.7100000381469729,7.635863345373943,0.364213376634878,4.787306739043482,0.345340244843248,0.65,0.04,4.65,0.03,9.62,0.5,0.68,0.05
