idx,lib_index,cps_name,lib_obs,Teff,u_Teff,radius,u_radius,logg,u_logg,feh,u_feh,mass,u_mass,age,u_age,vsini,source,source_name,snr
276,276,114659,rj72.741,4837.7,25.0,5.54,0.43,3.0823,0.027999999999999997,0.1752,0.01,1.35,0.14,9.64,0.14,1.32,Brewer,HD 114659,155.94788360595703
277,277,18742,rj62.193,4941.0,25.0,5.29,0.47,3.0924,0.027999999999999997,-0.0195,0.01,1.23,0.14,9.72,0.15,2.03,Brewer,HD 18742,153.9312744140625
278,278,152733,rj72.146,4834.8,25.0,5.37,0.45,3.0993,0.027999999999999997,0.1582,0.01,1.34,0.14,9.64,0.15,1.5,Brewer,HD 152733,156.1744842529297
279,279,22657,rj62.200,4792.2,25.0,4.81,0.47,3.1127,0.027999999999999997,0.0712,0.01,1.12,0.17,9.91,0.24,1.13,Brewer,HD 22657,155.71639251708984
280,280,15336,rj62.177,5025.1,25.0,4.6,0.27,3.1229,0.027999999999999997,-0.1576,0.01,0.99,0.03,9.95,0.05,3.14,Brewer,HD 15336,151.9260482788086
281,281,238433,rj76.1672,4936.5,25.0,5.07,0.42,3.1322,0.027999999999999997,-0.0043,0.01,1.24,0.14,9.72,0.15,2.12,Brewer,HD 238433,154.87600708007812
282,282,210373,rj156.1777,4876.2,25.0,5.1,0.38,3.1475,0.027999999999999997,0.2104,0.01,1.34,0.14,9.65,0.14,1.94,Brewer,HD 210373,156.69506072998047
283,283,1502,rj59.1647,4947.4,25.0,4.99,0.4,3.1762,0.027999999999999997,0.1018,0.01,1.35,0.14,9.63,0.15,1.6,Brewer,HD 1502,130.91603088378906
284,284,199381,rj138.779,4843.9,25.0,4.71,0.41,3.1878,0.027999999999999997,0.1667,0.01,1.23,0.15,9.76,0.16,1.22,Brewer,HD 199381,157.28402709960938
285,285,77818,rj70.391,4777.2,25.0,4.32,0.48,3.1926,0.027999999999999997,-0.0131,0.01,1.06,0.16,9.97,0.23,0.84,Brewer,HD 77818,156.0044403076172
286,286,95526,rj72.93,4831.8,25.0,4.45,0.44,3.2018,0.027999999999999997,-0.063,0.01,1.14,0.14,9.83,0.19,0.67,Brewer,HD 95526,155.53863525390625
287,287,72490,rj65.150,4934.7,25.0,3.93,0.26,3.2102,0.027999999999999997,-0.1117,0.01,0.91,0.05,10.13,0.07,2.16,Brewer,HD 72490,154.75279235839844
288,288,200964,rj57.145,4982.8,25.0,4.45,0.36,3.2162,0.027999999999999997,-0.0693,0.01,1.19,0.12,9.76,0.16,1.32,Brewer,HD 200964,147.9245376586914
289,289,74390,rj70.390,4874.4,25.0,4.57,0.36,3.2252,0.027999999999999997,0.1871,0.01,1.26,0.13,9.73,0.14,1.74,Brewer,HD 74390,155.6616439819336
290,290,14787,rj62.180,4946.1,25.0,4.56,0.29,3.2341,0.027999999999999997,0.0328,0.01,1.31,0.1,9.65,0.11,1.38,Brewer,HD 14787,154.85639190673828
291,291,4313,rj59.1648,4943.2,25.0,4.58,0.34,3.2430000000000003,0.027999999999999997,0.1891,0.01,1.34,0.14,9.65,0.14,1.72,Brewer,HD 4313,131.3678970336914
292,292,6030,rj62.139,4926.1,25.0,4.37,0.42,3.2586,0.027999999999999997,0.0721,0.01,1.28,0.19,9.69,0.22,1.35,Brewer,HD 6030,154.60456085205078
293,293,61995,rj118.389,4989.3,25.0,4.25,0.33,3.2631,0.027999999999999997,-0.045,0.01,1.22,0.12,9.73,0.14,0.92,Brewer,HD 61995,156.1902618408203
294,294,207077,rj57.147,5067.5,25.0,3.69,0.24,3.2729,0.027999999999999997,-0.3126,0.01,0.92,0.06,10.05,0.11,1.41,Brewer,HD 207077,144.55686950683594
